group_name	categ	tick	meta_order
"banana_002"	"pyramid"	1	0
"banana_002"	"pyramid"	2	0
"banana_002"	"pyramid"	3	0
"banana_002"	"pyramid"	4	0
"banana_002"	"pyramid"	5	0
"banana_002"	"pyramid"	6	0
"banana_002"	"pyramid"	7	0
"banana_003"	"pyramid"	1	0
"banana_003"	"pyramid"	2	0
"banana_003"	"pyramid"	3	0
"banana_003"	"pyramid"	4	0
"banana_003"	"pyramid"	5	0
"banana_003"	"pyramid"	6	0
"banana_003"	"pyramid"	7	0
"banana_004"	"pyramid"	1	0
"banana_004"	"pyramid"	2	0
"banana_004"	"pyramid"	3	0
"banana_004"	"pyramid"	4	0
"banana_004"	"pyramid"	5	0
"banana_004"	"pyramid"	6	0
"banana_004"	"pyramid"	7	0
"banana_006"	"pyramid"	1	0
"banana_006"	"pyramid"	2	0
"banana_006"	"pyramid"	3	0
"banana_006"	"pyramid"	4	0
"banana_006"	"pyramid"	5	0
"banana_006"	"pyramid"	6	0
"banana_006"	"pyramid"	7	0
"banana_007"	"pyramid"	1	0
"banana_007"	"pyramid"	2	0
"banana_007"	"pyramid"	3	0
"banana_007"	"pyramid"	4	0
"banana_007"	"pyramid"	5	0
"banana_007"	"pyramid"	6	0
"banana_007"	"pyramid"	7	0
"banana_008"	"pyramid"	1	0
"banana_008"	"pyramid"	2	0
"banana_008"	"pyramid"	3	0
"banana_008"	"pyramid"	4	0
"banana_008"	"pyramid"	5	0
"banana_008"	"pyramid"	6	0
"banana_008"	"pyramid"	7	0
"layercake_001"	"pyramid"	1	0
"layercake_001"	"pyramid"	2	0
"layercake_001"	"pyramid"	3	0
"layercake_001"	"pyramid"	4	0
"layercake_001"	"pyramid"	5	0
"layercake_001"	"pyramid"	6	0
"layercake_001"	"pyramid"	7	0
"layercake_002"	"pyramid"	1	0
"layercake_002"	"pyramid"	2	0
"layercake_002"	"pyramid"	3	0
"layercake_002"	"pyramid"	4	0
"layercake_002"	"pyramid"	5	0
"layercake_002"	"pyramid"	6	0
"layercake_002"	"pyramid"	7	0
"layercake_003"	"pyramid"	1	0
"layercake_003"	"pyramid"	2	0
"layercake_003"	"pyramid"	3	0
"layercake_003"	"pyramid"	4	0
"layercake_003"	"pyramid"	5	0
"layercake_003"	"pyramid"	6	0
"layercake_003"	"pyramid"	7	0
"layercake_004"	"pyramid"	1	0
"layercake_004"	"pyramid"	2	0
"layercake_004"	"pyramid"	3	0
"layercake_004"	"pyramid"	4	0
"layercake_004"	"pyramid"	5	0
"layercake_004"	"pyramid"	6	0
"layercake_004"	"pyramid"	7	0
"layercake_005"	"pyramid"	1	0
"layercake_005"	"pyramid"	2	0
"layercake_005"	"pyramid"	3	0
"layercake_005"	"pyramid"	4	0
"layercake_005"	"pyramid"	5	0
"layercake_005"	"pyramid"	6	0
"layercake_005"	"pyramid"	7	0
"layercake_006"	"pyramid"	1	0
"layercake_006"	"pyramid"	2	0
"layercake_006"	"pyramid"	3	0
"layercake_006"	"pyramid"	4	0
"layercake_006"	"pyramid"	5	0
"layercake_006"	"pyramid"	6	0
"layercake_006"	"pyramid"	7	0
"layercake_007"	"pyramid"	1	0
"layercake_007"	"pyramid"	2	0
"layercake_007"	"pyramid"	3	0
"layercake_007"	"pyramid"	4	0
"layercake_007"	"pyramid"	5	0
"layercake_007"	"pyramid"	6	0
"layercake_007"	"pyramid"	7	0
"layercake_008"	"pyramid"	1	0
"layercake_008"	"pyramid"	2	0
"layercake_008"	"pyramid"	3	0
"layercake_008"	"pyramid"	4	0
"layercake_008"	"pyramid"	5	0
"layercake_008"	"pyramid"	6	0
"layercake_008"	"pyramid"	7	0
"sailboat_002"	"pyramid"	1	0
"sailboat_002"	"pyramid"	2	0
"sailboat_002"	"pyramid"	3	0
"sailboat_002"	"pyramid"	4	0
"sailboat_002"	"pyramid"	5	0
"sailboat_002"	"pyramid"	6	0
"sailboat_002"	"pyramid"	7	0
"sailboat_004"	"pyramid"	1	0
"sailboat_004"	"pyramid"	2	0
"sailboat_004"	"pyramid"	3	0
"sailboat_004"	"pyramid"	4	0
"sailboat_004"	"pyramid"	5	0
"sailboat_004"	"pyramid"	6	0
"sailboat_004"	"pyramid"	7	0
"sailboat_005"	"pyramid"	1	0
"sailboat_005"	"pyramid"	2	0
"sailboat_005"	"pyramid"	3	0
"sailboat_005"	"pyramid"	4	0
"sailboat_005"	"pyramid"	5	0
"sailboat_005"	"pyramid"	6	0
"sailboat_005"	"pyramid"	7	0
"sailboat_006"	"pyramid"	1	0
"sailboat_006"	"pyramid"	2	0
"sailboat_006"	"pyramid"	3	0
"sailboat_006"	"pyramid"	4	0
"sailboat_006"	"pyramid"	5	0
"sailboat_006"	"pyramid"	6	0
"sailboat_006"	"pyramid"	7	0
"sailboat_007"	"pyramid"	1	0
"sailboat_007"	"pyramid"	2	0
"sailboat_007"	"pyramid"	3	0
"sailboat_007"	"pyramid"	4	0
"sailboat_007"	"pyramid"	5	0
"sailboat_007"	"pyramid"	6	0
"sailboat_007"	"pyramid"	7	0
"sailboat_008"	"pyramid"	1	0
"sailboat_008"	"pyramid"	2	0
"sailboat_008"	"pyramid"	3	0
"sailboat_008"	"pyramid"	4	0
"sailboat_008"	"pyramid"	5	0
"sailboat_008"	"pyramid"	6	0
"sailboat_008"	"pyramid"	7	0
"trafficcone_001"	"pyramid"	1	0
"trafficcone_001"	"pyramid"	2	0
"trafficcone_001"	"pyramid"	3	0
"trafficcone_001"	"pyramid"	4	0
"trafficcone_001"	"pyramid"	5	0
"trafficcone_001"	"pyramid"	6	0
"trafficcone_001"	"pyramid"	7	0
"trafficcone_002"	"pyramid"	1	0
"trafficcone_002"	"pyramid"	2	0
"trafficcone_002"	"pyramid"	3	0
"trafficcone_002"	"pyramid"	4	0
"trafficcone_002"	"pyramid"	5	0
"trafficcone_002"	"pyramid"	6	0
"trafficcone_002"	"pyramid"	7	0
"trafficcone_003"	"pyramid"	1	0
"trafficcone_003"	"pyramid"	2	0
"trafficcone_003"	"pyramid"	3	0
"trafficcone_003"	"pyramid"	4	0
"trafficcone_003"	"pyramid"	5	0
"trafficcone_003"	"pyramid"	6	0
"trafficcone_003"	"pyramid"	7	0
"trafficcone_004"	"pyramid"	1	0
"trafficcone_004"	"pyramid"	2	0
"trafficcone_004"	"pyramid"	3	0
"trafficcone_004"	"pyramid"	4	0
"trafficcone_004"	"pyramid"	5	0
"trafficcone_004"	"pyramid"	6	0
"trafficcone_004"	"pyramid"	7	0
"trafficcone_005"	"pyramid"	1	0
"trafficcone_005"	"pyramid"	2	0
"trafficcone_005"	"pyramid"	3	0
"trafficcone_005"	"pyramid"	4	0
