_H:	$group_name	$categ	|meta_order
_D:	"tablelamp_010"	"tgptc"	0
_D:	"tablelamp_009"	"tgptc"	0
_D:	"tablelamp_006"	"tgptc"	0
_D:	"tablelamp_005"	"tgptc"	0
_D:	"tablelamp_002"	"tgptc"	0
_D:	"tablelamp_008"	"tgptc"	0
_D:	"tablelamp_004"	"tgptc"	0
_D:	"tablelamp_001"	"tgptc"	0
_D:	"guitar_005"	"tgptc"	1
_D:	"guitar_007"	"tgptc"	1
_D:	"guitar_006"	"tgptc"	1
_D:	"guitar_003"	"tgptc"	1
_D:	"guitar_002"	"tgptc"	1
_D:	"guitar_001"	"tgptc"	1
_D:	"person_014"	"tgptc"	2
_D:	"person_009"	"tgptc"	2
_D:	"person_004"	"tgptc"	2
_D:	"person_003"	"tgptc"	2
_D:	"person_011"	"tgptc"	2
_D:	"person_012"	"tgptc"	2
_D:	"person_002"	"tgptc"	2
_D:	"person_006"	"tgptc"	2
_D:	"person_010"	"tgptc"	2
_D:	"person_015"	"tgptc"	2
_D:	"person_007"	"tgptc"	2
_D:	"person_001"	"tgptc"	2
_D:	"person_013"	"tgptc"	2
_D:	"trafficcone_002"	"tgptc"	3
_D:	"trafficcone_004"	"tgptc"	3
_D:	"trafficcone_005"	"tgptc"	3
_D:	"trafficcone_003"	"tgptc"	3
_D:	"trafficcone_001"	"tgptc"	3
_D:	"trafficcone_007"	"tgptc"	3
_D:	"chair_002"	"tgptc"	4
_D:	"chair_008"	"tgptc"	4
_D:	"chair_006"	"tgptc"	4
_D:	"chair_007"	"tgptc"	4
_D:	"chair_004"	"tgptc"	4
_D:	"chair_003"	"tgptc"	4
_D:	"chair_010"	"tgptc"	4
_D:	"chair_005"	"tgptc"	4
_D:	"donut_005"	"ddsl"	5
_D:	"donut_002"	"ddsl"	5
_D:	"donut_003"	"ddsl"	5
_D:	"donut_001"	"ddsl"	5
_D:	"donut_004"	"ddsl"	5
_D:	"donut_007"	"ddsl"	5
_D:	"doorknob_005"	"ddsl"	6
_D:	"doorknob_002"	"ddsl"	6
_D:	"doorknob_001"	"ddsl"	6
_D:	"doorknob_004"	"ddsl"	6
_D:	"doorknob_006"	"ddsl"	6
_D:	"doorknob_008"	"ddsl"	6
_D:	"sailboat_008"	"ddsl"	7
_D:	"sailboat_005"	"ddsl"	7
_D:	"sailboat_002"	"ddsl"	7
_D:	"sailboat_004"	"ddsl"	7
_D:	"sailboat_006"	"ddsl"	7
_D:	"sailboat_007"	"ddsl"	7
_D:	"layercake_005"	"ddsl"	8
_D:	"layercake_004"	"ddsl"	8
_D:	"layercake_002"	"ddsl"	8
_D:	"layercake_008"	"ddsl"	8
_D:	"layercake_006"	"ddsl"	8
_D:	"layercake_003"	"ddsl"	8
_D:	"layercake_007"	"ddsl"	8
_D:	"layercake_001"	"ddsl"	8
_D:	"handgun_005"	"mega"	9
_D:	"handgun_004"	"mega"	9
_D:	"handgun_006"	"mega"	9
_D:	"handgun_002"	"mega"	9
_D:	"handgun_008"	"mega"	9
_D:	"handgun_007"	"mega"	9
_D:	"piano_003"	"mega"	10
_D:	"piano_001"	"mega"	10
_D:	"piano_005"	"mega"	10
_D:	"piano_009"	"mega"	10
_D:	"piano_007"	"mega"	10
_D:	"piano_002"	"mega"	10
_D:	"piano_008"	"mega"	10
_D:	"elephant_002"	"mega"	11
_D:	"elephant_005"	"mega"	11
_D:	"elephant_007"	"mega"	11
_D:	"elephant_001"	"mega"	11
_D:	"elephant_006"	"mega"	11
_D:	"slrcamera_006"	"mega"	12
_D:	"slrcamera_007"	"mega"	12
_D:	"slrcamera_008"	"mega"	12
_D:	"slrcamera_005"	"mega"	12
_D:	"slrcamera_004"	"mega"	12
_D:	"slrcamera_003"	"mega"	12
_D:	"slrcamera_001"	"mega"	12
_D:	"slrcamera_009"	"mega"	12
_D:	"slrcamera_002"	"mega"	12
_D:	"fish_006"	"mega"	13
_D:	"fish_002"	"mega"	13
_D:	"fish_008"	"mega"	13
_D:	"fish_005"	"mega"	13
_D:	"fish_001"	"mega"	13
_D:	"fish_004"	"mega"	13
_D:	"fish_009"	"mega"	13
_D:	"stapler_007"	"mega"	14
_D:	"stapler_004"	"mega"	14
_D:	"stapler_001"	"mega"	14
_D:	"stapler_006"	"mega"	14
_D:	"stapler_008"	"mega"	14
_D:	"stapler_005"	"mega"	14
_D:	"car_wagon_001"	"mega"	15
_D:	"car_suv_002"	"mega"	15
_D:	"car_sportscar_001"	"mega"	15
_D:	"car_van_002"	"mega"	15
_D:	"car_van_001"	"mega"	15
_D:	"car_hatchback_002"	"mega"	15
_D:	"car_wagon_002"	"mega"	15
_D:	"car_sedan_002"	"mega"	15
_D:	"car_convertible_002"	"mega"	15
_D:	"car_convertible_001"	"mega"	15
_D:	"car_sedan_001"	"mega"	15
_D:	"car_sportscar_002"	"mega"	15
_D:	"car_hatchback_001"	"mega"	15
_D:	"car_pickup_001"	"mega"	15
_D:	"heavycannon_002"	"mega"	16
_D:	"heavycannon_003"	"mega"	16
_D:	"heavycannon_005"	"mega"	16
_D:	"heavycannon_011"	"mega"	16
_D:	"heavycannon_001"	"mega"	16
_D:	"heavycannon_010"	"mega"	16
_D:	"heavycannon_006"	"mega"	16
_D:	"heavycannon_007"	"mega"	16
_D:	"heavycannon_004"	"mega"	16
_D:	"motorcycle_standard_003"	"mega"	17
_D:	"motorcycle_standard_004"	"mega"	17
_D:	"motorcycle_sport_004"	"mega"	17
_D:	"motorcycle_dirt_003"	"mega"	17
_D:	"motorcycle_chopper_002"	"mega"	17
_D:	"motorcycle_chopper_001"	"mega"	17
_D:	"motorcycle_sport_001"	"mega"	17
_D:	"motorcycle_chopper_003"	"mega"	17
_D:	"motorcycle_sport_003"	"mega"	17
_D:	"motorcycle_standard_002"	"mega"	17
_D:	"motorcycle_dirt_004"	"mega"	17
_D:	"motorcycle_dirt_001"	"mega"	17
_D:	"motorcycle_dirt_002"	"mega"	17
_D:	"motorcycle_sport_002"	"mega"	17
_D:	"trex_006"	"mega"	18
_D:	"trex_007"	"mega"	18
_D:	"trex_008"	"mega"	18
_D:	"trex_005"	"mega"	18
_D:	"trex_001"	"mega"	18
_D:	"trex_002"	"mega"	18
_D:	"banana_004"	"banana"	19
_D:	"banana_008"	"banana"	19
_D:	"banana_003"	"banana"	19
