_H:	%correl	%epoch
_D:	-0.122831	0
_D:	0.723991	16
_D:	0.78423	32
_D:	0.768846	48
_D:	0.780376	64
_D:	0.778062	80
_D:	0.807159	96
_D:	0.753601	112
_D:	0.797155	128
_D:	0.784698	144
_D:	0.803001	160
_D:	0.816753	176
_D:	0.771824	192
_D:	0.800949	208
_D:	0.792826	224
_D:	0.772589	240
_D:	0.759074	256
_D:	0.792162	272
_D:	0.779295	288
_D:	0.802649	304
_D:	0.858455	320
_D:	0.846157	336
_D:	0.928292	352
_D:	0.898035	368
_D:	0.916303	384
_D:	0.918015	400
_D:	0.900436	416
_D:	0.93771	432
_D:	0.916551	448
_D:	0.917016	464
_D:	0.92043	480
_D:	0.923725	496
_D:	0.92838	512
_D:	0.910124	528
_D:	0.916297	544
_D:	0.936671	560
_D:	0.918274	576
_D:	0.935075	592
_D:	0.935623	608
_D:	0.937372	624
_D:	0.918841	640
_D:	0.911219	656
_D:	0.910491	672
_D:	0.916164	688
_D:	0.934563	704
_D:	0.891218	720
_D:	0.92137	736
_D:	0.930677	752
_D:	0.945388	768
_D:	0.936556	784
_D:	0.935829	800
_D:	0.931168	816
_D:	0.945345	832
_D:	0.951713	848
_D:	0.942264	864
_D:	0.939718	880
_D:	0.919866	896
_D:	0.939383	912
_D:	0.929582	928
_D:	0.932451	944
_D:	0.938405	960
_D:	0.939935	976
_D:	0.945318	992
